accel_x,accel_y,accel_z,variance,variance,mean_x,mean_y,covarianceX,covarianceY,whiteNoiseX,whiteNoiseY
-2.04E-05,-0.00343244,0.14773214,,,,,,,,
-2.42E-04,-0.001998317,0.14660226,,,,,,,,
-0.001182414,-0.002285271,0.14652699,,,,,,,,
-6.44E-04,-0.002382497,0.14738525,,,,,,,,
-5.62E-04,-0.001872647,0.14689966,,,,,,,,
-9.56E-04,-0.002469369,0.14566478,,,,,,,,
-0.001797335,-0.002358756,0.14602526,,,,,,,,
-0.002942225,-0.00234828,0.14680797,,,,,,,,
-0.003054351,-0.002164734,0.14789057,,,,,,,,
-0.003357546,-0.002712005,0.14862521,,,,,,,,
-0.001827041,-0.002183418,0.14786135,,,,,,,,
-0.001851709,-0.002352094,0.14739467,,,,,,,,
-0.001898531,-0.00233288,0.14630936,,,,,,,,
-7.63E-04,-0.002380377,0.14563869,,,,,,,,
-1.73E-04,-0.002486937,0.14391255,,,,,,,,
-0.00141577,-0.002746703,0.14318286,,,,,,,,
-0.001046783,-0.002084457,0.14628734,,,,,,,,
-8.15E-04,-0.001601069,0.14662054,,,,,,,,
1.56E-04,-0.001538714,0.14661297,,,,,,,,
-9.30E-04,-0.002115296,0.14641352,,,,,,,,
-1.93E-04,-8.10E-04,0.14433137,,,,,,,,
-6.01E-04,-9.60E-04,0.1453014,,,,,,,,
-0.001356885,-0.001512945,0.14691672,,,,,,,,
-4.86E-04,-0.002258259,0.1469576,,,,,,,,
6.41E-04,-0.002969808,0.14757231,,,,,,,,
-0.001076546,-0.001799807,0.1490321,,,,,,,,
-8.71E-04,-4.53E-04,0.14716768,,,,,,,,
-1.30E-04,-0.001405602,0.14716314,,,,,,,,
-6.88E-04,-0.00136253,0.14697902,,,,,,,,
-0.001817926,-0.001562903,0.14672995,,,,,,,,
-0.002352433,-0.002213098,0.14698511,,,,,,,,
-0.001748686,-0.001972675,0.14777197,,,,,,,,
-0.001906896,-0.001480063,0.14711675,,,,,,,,
-0.001752842,-0.00166205,0.14692822,,,,,,,,
-6.20E-04,-0.001252661,0.1463949,,,,,,,,
-0.001263221,-0.001623019,0.14600469,,,,,,,,
-0.001705006,-6.47E-04,0.14680193,,,,,,,,
-7.61E-04,-0.00158111,0.14604044,,,,,,,,
-3.38E-04,-0.001253756,0.14510907,,,,,,,,
1.42E-04,-8.02E-04,0.14604004,,,,,,,,
5.14E-04,-0.001477639,0.14628172,,,,,,,,
-4.13E-04,-0.001330857,0.14664918,,,,,,,,
-6.82E-04,-0.001881716,0.14811446,,,,,,,,
-1.37E-04,-0.002033497,0.14734773,,,,,,,,
-6.42E-04,-9.12E-04,0.14631689,,,,,,,,
9.46E-04,-0.001126965,0.1468325,,,,,,,,
6.67E-04,-0.001075975,0.14718243,,,,,,,,
5.59E-04,-2.06E-05,0.14568941,,,,,,,,
